0;0;1121.2875808997578;
0;1;1037.979482425696;
0;2;888.1505589127123;
0;3;800.379243530732;
0;4;746.7013508735613;
0;5;716.3244893804167;
1;0;1035.9470652279226;
1;1;973.4132212492233;
1;2;859.4418319204387;
1;3;785.733737382442;
1;4;737.7565175899081;
1;5;709.9291218504793;
2;0;881.0322250906893;
2;1;854.3677952002778;
2;2;804.9561737887715;
2;3;754.6484802739423;
2;4;717.9247940194803;
2;5;695.3751566214801;
3;0;785.0912745288582;
3;1;772.543930139375;
3;2;746.6186596750517;
3;3;717.1719488472899;
3;4;692.1398528494523;
3;5;675.6761388872596;
4;0;720.0572801481866;
4;1;713.3571310380469;
4;2;698.9783807023264;
4;3;681.4921159745753;
4;4;665.5405546278627;
4;5;654.370259765619;
5;0;674.8792135722414;
5;1;671.0469690958801;
5;2;662.6276520465865;
5;3;652.0187143542036;
5;4;641.9311186793183;
5;5;634.6084453247094;
